method,seed,mae_prop,rmse_prop,mae_raw,rmse_raw
paper_median,20260740,0.0875352977286679,0.112737012342001,3.70165745856354,6.16351768686057
same_subject,20260740,0.0787884767166535,0.0977700775400021,3.13259668508287,5.08654383415651
als_bias_lambda1,20260740,0.0867819871963518,0.108555424274016,3.43093922651934,5.42910104175148
als_bias_lambda3,20260740,0.0866736823642901,0.107973977058594,3.48066298342541,5.51942826729273
als_bias_lambda5,20260740,0.0851249671139174,0.107127104444468,3.49171270718232,5.59794753231804
als_bias_lambda10,20260740,0.0850504253266684,0.107925180665986,3.54696132596685,5.75561220229477
als_bias_lambda20,20260740,0.0851775848460931,0.10882368781014,3.55801104972376,5.84987132124615
paper_mean,20260741,0.0904713671840744,0.112624728880632,3.43093922651934,5.35223400457968
paper_median,20260741,0.0892098570551609,0.111072808196101,3.38674033149171,5.30662048713446
same_subject,20260741,0.0751894238358327,0.0949654269653013,3.03867403314917,4.75824379134787
als_bias_lambda1,20260741,0.0862080154345348,0.110847220170877,3.49171270718232,5.50640009343221
als_bias_lambda3,20260741,0.0861764447952293,0.110478296236412,3.43646408839779,5.32999435074799
als_bias_lambda5,20260741,0.0845759887748838,0.109506593021311,3.38121546961326,5.30505856789911
als_bias_lambda10,20260741,0.0843339472068754,0.108956215831406,3.32044198895028,5.18444336825797
als_bias_lambda20,20260741,0.0843580636674559,0.109148736042969,3.27624309392265,5.18550892029229
paper_mean,20260742,0.0891059370341138,0.112222160977497,3.1767955801105,4.52433567053424
paper_median,20260742,0.0887836534245374,0.112832271886094,3.16022099447514,4.515167807678
same_subject,20260742,0.0652587038498641,0.0839160968544249,2.54696132596685,4.00207128692573
als_bias_lambda1,20260742,0.0834306761378585,0.105436774086114,3.14917127071823,4.71274280556251
als_bias_lambda3,20260742,0.0831447864597036,0.105865500947432,3.09944751381215,4.58859985385352
als_bias_lambda5,20260742,0.0822972024905727,0.105573565536993,3.09944751381215,4.59702041382055
als_bias_lambda10,20260742,0.0837152503727089,0.107469517883163,3.10497237569061,4.55536839514321
als_bias_lambda20,20260742,0.0833412259931597,0.107220959512548,3.11049723756906,4.53287561333497
paper_mean,20260743,0.0915324914496185,0.117295875486335,3.40883977900553,5.07784702277849
paper_median,20260743,0.09008681925809,0.11599472956303,3.38674033149171,5.05822452636456
same_subject,20260743,0.0728422344996931,0.0936004536385633,3.14917127071823,5.27267531452257
als_bias_lambda1,20260743,0.0914176094010348,0.115204036500414,3.57458563535912,5.51892775237288
als_bias_lambda3,20260743,0.0907870735771288,0.114196262171996,3.53038674033149,5.40155492243766
als_bias_lambda5,20260743,0.0895444181355784,0.113709099895987,3.47513812154696,5.32117629167385
